episode_reward_max,agent_timesteps_total,training_iteration,episode_reward_min,episodes_total,episode_reward_mean,timestamp,checkpoint_dir_name,should_checkpoint,done,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/pol_p1/num_agent_steps_trained,info/learner/pol_p1/num_grad_updates_lifetime,info/learner/pol_p1/diff_num_grad_updates_vs_sampler_policy,info/learner/pol_p0/num_agent_steps_trained,info/learner/pol_p0/num_grad_updates_lifetime,info/learner/pol_p0/diff_num_grad_updates_vs_sampler_policy,info/learner/pol_p1/learner_stats/cur_kl_coeff,info/learner/pol_p1/learner_stats/cur_lr,info/learner/pol_p1/learner_stats/total_loss,info/learner/pol_p1/learner_stats/policy_loss,info/learner/pol_p1/learner_stats/vf_loss,info/learner/pol_p1/learner_stats/vf_explained_var,info/learner/pol_p1/learner_stats/kl,info/learner/pol_p1/learner_stats/entropy,info/learner/pol_p1/learner_stats/entropy_coeff,info/learner/pol_p0/learner_stats/cur_kl_coeff,info/learner/pol_p0/learner_stats/cur_lr,info/learner/pol_p0/learner_stats/total_loss,info/learner/pol_p0/learner_stats/policy_loss,info/learner/pol_p0/learner_stats/vf_loss,info/learner/pol_p0/learner_stats/vf_explained_var,info/learner/pol_p0/learner_stats/kl,info/learner/pol_p0/learner_stats/entropy,info/learner/pol_p0/learner_stats/entropy_coeff
1.0,1000,1,0.0,5,0.4,1733939563,checkpoint_000000,True,False,b0ad8_00000,2024-12-11_17-52-43,9.436902284622192,9.436902284622192,35532,LAPTOP-B1AMSLFS,127.0.0.1,9.436902284622192,1,500,500,1000,1000,5.1571428571428575,53.25,125.0,200.5,199.5,125.0,200.5,199.5,0.20000000298023224,0.0003000000142492354,-0.04157369,-0.04728884,0.0014480033,0.7508612,0.02133574,1.7704072,0.0,0.20000000298023224,0.0003000000142492354,-0.04210958,-0.051427852,0.004226323,0.67992383,0.025459735,1.7663516,0.0
1.0,2000,2,0.0,11,0.4090909090909091,1733939566,,,False,b0ad8_00000,2024-12-11_17-52-46,3.2710273265838623,12.707929611206055,35532,LAPTOP-B1AMSLFS,127.0.0.1,12.707929611206055,2,1000,1000,2000,2000,4.85,54.1,125.0,600.5,199.5,125.0,600.5,199.5,0.30000001192092896,0.0003000000142492354,-0.06473811,-0.07625386,0.0024109944,0.75303894,0.030349204,1.7192127,0.0,0.30000001192092896,0.0003000000142492354,-0.054512996,-0.06271091,0.0020690807,0.77790886,0.020429427,1.7238092,0.0
1.0,3000,3,0.0,16,0.3125,1733939569,,,False,b0ad8_00000,2024-12-11_17-52-49,3.509291410446167,16.21722102165222,35532,LAPTOP-B1AMSLFS,127.0.0.1,16.21722102165222,3,1500,1500,3000,3000,5.720000000000001,54.379999999999995,125.0,1000.5,199.5,125.0,1000.5,199.5,0.44999998807907104,0.0003000000142492354,-0.048616853,-0.06257732,0.0018650657,0.6947931,0.026878662,1.6903276,0.0,0.44999998807907104,0.0003000000142492354,-0.070331156,-0.08461469,0.00057658186,0.5997066,0.030459907,1.7281488,0.0
1.0,4000,4,0.0,21,0.2857142857142857,1733939572,,,False,b0ad8_00000,2024-12-11_17-52-52,2.8045594692230225,19.021780490875244,35532,LAPTOP-B1AMSLFS,127.0.0.1,19.021780490875244,4,2000,2000,4000,4000,5.025,53.475,125.0,1400.5,199.5,125.0,1400.5,199.5,0.675000011920929,0.0003000000142492354,-0.04837877,-0.062301427,0.0032564425,0.5726447,0.0158018,1.6717778,0.0,0.675000011920929,0.0003000000142492354,-0.05647067,-0.069331594,0.00071316375,0.8257309,0.017996674,1.6999286,0.0
1.0,5000,5,0.0,26,0.23076923076923078,1733939575,,,False,b0ad8_00000,2024-12-11_17-52-55,2.4060146808624268,21.42779517173767,35532,LAPTOP-B1AMSLFS,127.0.0.1,21.42779517173767,5,2500,2500,5000,5000,4.2,51.824999999999996,125.0,1800.5,199.5,125.0,1800.5,199.5,0.675000011920929,0.0003000000142492354,-0.06568468,-0.077898905,0.00011618582,-1.0,0.017923014,1.6450205,0.0,0.675000011920929,0.0003000000142492354,-0.057700995,-0.07255892,9.960888e-05,-1.0,0.021864181,1.6545486,0.0
1.0,6000,6,0.0,31,0.22580645161290322,1733939577,,,False,b0ad8_00000,2024-12-11_17-52-57,2.371936559677124,23.799731731414795,35532,LAPTOP-B1AMSLFS,127.0.0.1,23.799731731414795,6,3000,3000,6000,6000,3.633333333333333,51.73333333333333,125.0,2200.5,199.5,125.0,2200.5,199.5,0.675000011920929,0.0003000000142492354,-0.05791461,-0.07171545,0.0017153925,0.6992604,0.017904378,1.6053882,0.0,1.0125000476837158,0.0003000000142492354,-0.03839106,-0.052503522,0.002812109,0.6848254,0.011160841,1.6328969,0.0
1.0,7000,7,0.0,36,0.2222222222222222,1733939579,,,False,b0ad8_00000,2024-12-11_17-52-59,2.309992790222168,26.109724521636963,35532,LAPTOP-B1AMSLFS,127.0.0.1,26.109724521636963,7,3500,3500,7000,7000,3.3333333333333335,51.70000000000001,125.0,2600.5,199.5,125.0,2600.5,199.5,0.675000011920929,0.0003000000142492354,-0.049894962,-0.061909884,0.00090141164,0.9179221,0.016464459,1.5701089,0.0,1.0125000476837158,0.0003000000142492354,-0.05272869,-0.06708647,0.0006278662,0.85201436,0.0135604115,1.6344486,0.0
1.0,8000,8,0.0,41,0.21951219512195122,1733939582,,,False,b0ad8_00000,2024-12-11_17-53-02,2.3572051525115967,28.46692967414856,35532,LAPTOP-B1AMSLFS,127.0.0.1,28.46692967414856,8,4000,4000,8000,8000,4.0,51.76666666666667,125.0,3000.5,199.5,125.0,3000.5,199.5,0.675000011920929,0.0003000000142492354,-0.03568557,-0.04711332,0.0029852604,0.2582889,0.012507395,1.5747306,0.0,1.0125000476837158,0.0003000000142492354,-0.042975254,-0.057364088,0.0007181071,0.8457434,0.01350195,1.6218473,0.0
1.0,9000,9,0.0,46,0.20652173913043478,1733939584,,,False,b0ad8_00000,2024-12-11_17-53-04,2.4464058876037598,30.91333556175232,35532,LAPTOP-B1AMSLFS,127.0.0.1,30.91333556175232,9,4500,4500,9000,9000,3.275,51.8,125.0,3400.5,199.5,125.0,3400.5,199.5,0.675000011920929,0.0003000000142492354,-0.04679124,-0.059272274,0.0003257414,0.85856706,0.018007841,1.5500494,0.0,1.0125000476837158,0.0003000000142492354,-0.046400525,-0.057163816,0.0005508256,0.9201277,0.010086386,1.6303905,0.0
1.0,10000,10,0.0,52,0.20192307692307693,1733939587,,,False,b0ad8_00000,2024-12-11_17-53-07,2.9132208824157715,33.82655644416809,35532,LAPTOP-B1AMSLFS,127.0.0.1,33.82655644416809,10,5000,5000,10000,10000,7.9,52.25,125.0,3800.5,199.5,125.0,3800.5,199.5,0.675000011920929,0.0003000000142492354,-0.040887795,-0.05254074,0.0035690183,0.49653518,0.011976192,1.5256766,0.0,1.0125000476837158,0.0003000000142492354,-0.05478489,-0.06990026,0.0009141302,0.6418552,0.0140259145,1.5690417,0.0
1.0,11000,11,0.0,57,0.19298245614035087,1733939590,,,False,b0ad8_00000,2024-12-11_17-53-10,2.408921003341675,36.235477447509766,35532,LAPTOP-B1AMSLFS,127.0.0.1,36.235477447509766,11,5500,5500,11000,11000,3.766666666666667,52.53333333333333,125.0,4200.5,199.5,125.0,4200.5,199.5,0.675000011920929,0.0003000000142492354,-0.061515264,-0.075400345,0.0009333923,0.85969985,0.01918769,1.5506607,0.0,1.0125000476837158,0.0003000000142492354,-0.058108702,-0.07246467,0.00048567652,0.79415774,0.01369905,1.6147401,0.0
1.0,12000,12,0.0,62,0.1774193548387097,1733939592,,,False,b0ad8_00000,2024-12-11_17-53-12,2.388273000717163,38.62375044822693,35532,LAPTOP-B1AMSLFS,127.0.0.1,38.62375044822693,12,6000,6000,12000,12000,3.55,52.55,125.0,4600.5,199.5,125.0,4600.5,199.5,0.675000011920929,0.0003000000142492354,-0.06603874,-0.080289744,0.00042558313,0.31395507,0.020482099,1.5551269,0.0,1.0125000476837158,0.0003000000142492354,-0.0776457,-0.094609946,9.268863e-05,0.18300834,0.016663268,1.5941833,0.0
1.0,13000,13,0.0,67,0.19402985074626866,1733939594,,,False,b0ad8_00000,2024-12-11_17-53-14,2.2312119007110596,40.85496234893799,35532,LAPTOP-B1AMSLFS,127.0.0.1,40.85496234893799,13,6500,6500,13000,13000,2.6999999999999997,52.6,125.0,5000.5,199.5,125.0,5000.5,199.5,1.0125000476837158,0.0003000000142492354,-0.050258532,-0.066775985,0.0020382344,0.8055994,0.014300458,1.5587496,0.0,1.0125000476837158,0.0003000000142492354,-0.039082855,-0.056030564,0.0039335527,0.68420744,0.0128534855,1.5741551,0.0
